method,port,vhost,uri,status,hint
GET,443,clientservices.googleapis.com,https://clientservices.googleapis.com:443/chrome-variations/seed?osname=win&channel=stable&milestone=76,200,
POST,443,accounts.google.com,https://accounts.google.com:443/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,200,
GET,443,www.google.com,https://www.google.com:443/searchdomaincheck?format=domain&type=chrome,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-dcce360e77937eb06679c31bcd694097abc747ae87d2bc292fddd5318b67ceff.css,200,
HEAD,80,cxruuhdtqych,http://cxruuhdtqych/,404,
HEAD,80,zhfolyz,http://zhfolyz/,404,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-0281369d41354ab55fdb55cdccf3c49ba18178485a8e2a8acb9148a19a26c362.js,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/21/small/ror_tote.jpeg?1527769324,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/logo/spree_50-0ae687ccd486b63b01687b1df9e5394430f6fce3ab40c28250b179be4363ddc1.png,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/23/small/ror_bag.jpeg?1527769326,200,
HEAD,80,zmqwdfekizeeeui,http://zmqwdfekizeeeui/,404,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/bitnami/banner.js,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/24/small/ror_baseball.jpeg?1527769327,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/26/small/ror_jr_spaghetti.jpeg?1527769328,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/29/small/ror_ringer.jpeg?1527769331,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/33/small/apache_baseball.png?1527769334,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/34/small/ruby_baseball.png?1527769335,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/bitnami/images/corner-logo.png,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart_link,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/38/small/spree_ringer_t.jpeg?1527769340,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/36/small/spree_tote_front.jpeg?1527769338,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/35/small/spree_bag.jpeg?1527769337,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/41/small/spree_jersey.jpeg?1527769343,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/40/small/spree_spaghetti.jpeg?1527769342,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/bitnami/images/close.png,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/bootstrap/glyphicons-halflings-regular-fe185d11a49676890d47bb783312a0cda5a44c4039214094e7957b4c040ef11c.woff2,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-dcce360e77937eb06679c31bcd694097abc747ae87d2bc292fddd5318b67ceff.css,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/favicon-92e86d463e909754599d66730477622cd3dd0b9bff58c47c9c38bebceb8073e5.ico,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/?page=2,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-dcce360e77937eb06679c31bcd694097abc747ae87d2bc292fddd5318b67ceff.css,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/31/small/ror_stein.jpeg?1527769332,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/43/small/spree_stein.jpeg?1527769344,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/45/small/spree_mug.jpeg?1527769346,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/27/small/ror_mug.jpeg?1527769329,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart_link,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/products/spree-mug,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-dcce360e77937eb06679c31bcd694097abc747ae87d2bc292fddd5318b67ceff.css,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/45/product/spree_mug.jpeg?1527769346,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/45/mini/spree_mug.jpeg?1527769346,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/46/mini/spree_mug_back.jpeg?1527769346,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart_link,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-dcce360e77937eb06679c31bcd694097abc747ae87d2bc292fddd5318b67ceff.css,200,
POST,443,demosite.appvance.com,https://demosite.appvance.com:443/orders/populate,302,utf8=✓&authenticity_token=3waPIrnM5X68FHMl6YWh5cpE4XA2RFKyNHrgP7TrhLVU5g6XUJutdm1U0FaHHJKywkZgafT4pf
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart?variant_id=16,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-dcce360e77937eb06679c31bcd694097abc747ae87d2bc292fddd5318b67ceff.css,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart_link,200,
POST,443,demosite.appvance.com,https://demosite.appvance.com:443/cart,302,utf8=✓&_method=patch&authenticity_token=8jruSQL3XMDP/KrL+Kw3rwZtg7/3HGIol0jeZ9Z3JPR52m/866AUyB68CbiW
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-dcce360e77937eb06679c31bcd694097abc747ae87d2bc292fddd5318b67ceff.css,200,
