method,port,vhost,uri,status,hint
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-2add5141235941778d5f385ae3221bae7b3cec339ba9da43594ccb79d20182bb.css,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-fe935964ffc1a8877767afcdc98fdedacd3e2455f2a5986e52ad8f3e1722df9f.js,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/24/small/ror_baseball.jpeg?1499978140,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/33/small/apache_baseball.png?1499978146,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/41/small/spree_jersey.jpeg?1499978152,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/40/small/spree_spaghetti.jpeg?1499978152,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/38/small/spree_ringer_t.jpeg?1499978150,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/36/small/spree_tote_front.jpeg?1499978149,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/35/small/spree_bag.jpeg?1499978148,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart_link,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/29/small/ror_ringer.jpeg?1499978144,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/34/small/ruby_baseball.png?1499978147,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/21/small/ror_tote.jpeg?1499978138,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/23/small/ror_bag.jpeg?1499978140,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/t/brands/bags,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-fe935964ffc1a8877767afcdc98fdedacd3e2455f2a5986e52ad8f3e1722df9f.js,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-2add5141235941778d5f385ae3221bae7b3cec339ba9da43594ccb79d20182bb.css,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart_link,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/t/brands/bags?utf8=%E2%9C%93&per_page=&search%5Bbrand_any%5D%5B%5D=Conditioned,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-2add5141235941778d5f385ae3221bae7b3cec339ba9da43594ccb79d20182bb.css,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-fe935964ffc1a8877767afcdc98fdedacd3e2455f2a5986e52ad8f3e1722df9f.js,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart_link,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/t/brands/bags?utf8=%E2%9C%93&per_page=&search%5Bbrand_any%5D%5B%5D=Conditioned&search%5Bbrand_any%5D%5B%5D=Resiliance&search%5Bbrand_any%5D%5B%5D=Wannabe+Sports,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-2add5141235941778d5f385ae3221bae7b3cec339ba9da43594ccb79d20182bb.css,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-fe935964ffc1a8877767afcdc98fdedacd3e2455f2a5986e52ad8f3e1722df9f.js,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart_link,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/t/brands/mugs,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-2add5141235941778d5f385ae3221bae7b3cec339ba9da43594ccb79d20182bb.css,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-fe935964ffc1a8877767afcdc98fdedacd3e2455f2a5986e52ad8f3e1722df9f.js,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/31/small/ror_stein.jpeg?1499978145,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart_link,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/27/small/ror_mug.jpeg?1499978142,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/spree/products/45/small/spree_mug.jpeg?1499978155,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart,200,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-2add5141235941778d5f385ae3221bae7b3cec339ba9da43594ccb79d20182bb.css,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/assets/spree/frontend/all-fe935964ffc1a8877767afcdc98fdedacd3e2455f2a5986e52ad8f3e1722df9f.js,304,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart_link,304,
POST,443,demosite.appvance.com,https://demosite.appvance.com:443/cart,302,
GET,443,demosite.appvance.com,https://demosite.appvance.com:443/cart,200,
